condition,layer,k,branch,chain,level,pr
refinement,0,3,deflate_top3,refugee_shelter,1,5.197887656801735
refinement,0,3,deflate_top3,refugee_shelter,2,5.142829752565526
refinement,0,3,deflate_top3,refugee_shelter,3,5.473830660649769
refinement,0,3,deflate_top3,refugee_shelter,4,5.268375747105332
refinement,0,3,deflate_top3,rescue_drone,0,5.625257808786534
refinement,0,3,deflate_top3,rescue_drone,1,5.408770374423274
refinement,0,3,deflate_top3,rescue_drone,2,5.836535024258012
refinement,0,3,deflate_top3,rescue_drone,3,5.741601944827235
refinement,0,3,deflate_top3,rescue_drone,4,5.447328005140446
refinement,0,3,deflate_top3,research_university,0,5.166041536672584
refinement,0,3,deflate_top3,research_university,1,5.608960834774294
refinement,0,3,deflate_top3,research_university,2,5.349453211133043
refinement,0,3,deflate_top3,research_university,3,5.7802249394803455
refinement,0,3,deflate_top3,research_university,4,5.406613461693602
refinement,0,4,deflate_top4,apartment_building,0,4.865793691651409
refinement,0,4,deflate_top4,apartment_building,1,5.158126978318228
refinement,0,4,deflate_top4,apartment_building,2,5.915369895758203
refinement,0,4,deflate_top4,apartment_building,3,4.2181915427233045
refinement,0,4,deflate_top4,apartment_building,4,4.364983601335042
refinement,0,4,deflate_top4,emergency_vehicle,0,5.776967867570813
refinement,0,4,deflate_top4,emergency_vehicle,1,5.037770063906871
refinement,0,4,deflate_top4,emergency_vehicle,2,5.31177943803204
refinement,0,4,deflate_top4,emergency_vehicle,3,5.632997303684997
refinement,0,4,deflate_top4,emergency_vehicle,4,5.542357190336356
refinement,0,4,deflate_top4,employment_agreement,0,4.670134835868699
refinement,0,4,deflate_top4,employment_agreement,1,5.27313957867109
refinement,0,4,deflate_top4,employment_agreement,2,5.333765983771054
refinement,0,4,deflate_top4,employment_agreement,3,5.621480709793292
refinement,0,4,deflate_top4,employment_agreement,4,4.3380954346819545
refinement,0,4,deflate_top4,forensic_hospital,0,5.82076823313072
refinement,0,4,deflate_top4,forensic_hospital,1,5.031943114016334
refinement,0,4,deflate_top4,forensic_hospital,2,5.761847733947701
refinement,0,4,deflate_top4,forensic_hospital,3,4.88315724447223
refinement,0,4,deflate_top4,forensic_hospital,4,5.259306705236551
refinement,0,4,deflate_top4,graph_database,0,5.401583664845626
refinement,0,4,deflate_top4,graph_database,1,5.395297957514642
refinement,0,4,deflate_top4,graph_database,2,5.065649011372635
refinement,0,4,deflate_top4,graph_database,3,4.920516701613019
refinement,0,4,deflate_top4,graph_database,4,5.129807221221627
refinement,0,4,deflate_top4,hiking_boot,0,5.041240313988195
refinement,0,4,deflate_top4,hiking_boot,1,3.8122116914811923
refinement,0,4,deflate_top4,hiking_boot,2,5.378412992715708
refinement,0,4,deflate_top4,hiking_boot,3,5.714920637769774
refinement,0,4,deflate_top4,hiking_boot,4,4.911498623445608
refinement,0,4,deflate_top4,medical_consent,0,5.556563368833939
refinement,0,4,deflate_top4,medical_consent,1,4.81659142778724
refinement,0,4,deflate_top4,medical_consent,2,5.630330790448662
refinement,0,4,deflate_top4,medical_consent,3,4.52298492673297
refinement,0,4,deflate_top4,medical_consent,4,4.818881649117231
refinement,0,4,deflate_top4,refugee_shelter,0,5.5597383111655345
refinement,0,4,deflate_top4,refugee_shelter,1,5.183792581098513
refinement,0,4,deflate_top4,refugee_shelter,2,5.19188354109298
refinement,0,4,deflate_top4,refugee_shelter,3,5.496101482549993
refinement,0,4,deflate_top4,refugee_shelter,4,5.284873448796335
refinement,0,4,deflate_top4,rescue_drone,0,5.6089696983284005
refinement,0,4,deflate_top4,rescue_drone,1,5.403811335427663
