condition,layer,category,mean_mahalanobis,mean_l2,pair_count
top2_deflation,15,different_topic_diff_language,15.919882774353027,27.30952262878418,518400
top2_deflation,15,different_topic_same_language,15.944228172302246,23.831871032714844,130560
top2_deflation,16,exact_translation_diff_language,14.274584770202637,24.509727478027344,2400
top2_deflation,16,same_factor_diff_language,15.446184158325195,26.28792953491211,25920
top2_deflation,16,same_factor_same_language,13.627646446228027,20.609878540039062,5904
top2_deflation,16,same_domain_diff_language,15.906542778015137,27.1824951171875,77760
top2_deflation,16,same_domain_same_language,15.035046577453613,22.474782943725586,19584
top2_deflation,16,different_topic_diff_language,15.913311004638672,28.157800674438477,518400
top2_deflation,16,different_topic_same_language,15.942337989807129,24.759843826293945,130560
top2_deflation,17,exact_translation_diff_language,14.252913475036621,26.899581909179688,2400
top2_deflation,17,same_factor_diff_language,15.436638832092285,28.82525634765625,25920
top2_deflation,17,same_factor_same_language,13.624693870544434,21.967548370361328,5904
top2_deflation,17,same_domain_diff_language,15.901623725891113,29.84052848815918,77760
top2_deflation,17,same_domain_same_language,15.029906272888184,24.044626235961914,19584
top2_deflation,17,different_topic_diff_language,15.90705394744873,31.042327880859375,518400
top2_deflation,17,different_topic_same_language,15.94819164276123,26.747224807739258,130560
top2_deflation,18,exact_translation_diff_language,14.24882984161377,28.42937469482422,2400
top2_deflation,18,same_factor_diff_language,15.437644958496094,30.54367446899414,25920
top2_deflation,18,same_factor_same_language,13.619235038757324,23.4822940826416,5904
top2_deflation,18,same_domain_diff_language,15.896625518798828,31.625205993652344,77760
top2_deflation,18,same_domain_same_language,15.017590522766113,25.715532302856445,19584
top2_deflation,18,different_topic_diff_language,15.89859390258789,32.85847473144531,518400
top2_deflation,18,different_topic_same_language,15.94654655456543,28.581771850585938,130560
top2_deflation,19,exact_translation_diff_language,14.289875984191895,30.889394760131836,2400
top2_deflation,19,same_factor_diff_language,15.455309867858887,33.2159423828125,25920
top2_deflation,19,same_factor_same_language,13.624436378479004,25.328359603881836,5904
top2_deflation,19,same_domain_diff_language,15.89620590209961,34.424842834472656,77760
top2_deflation,19,same_domain_same_language,14.99435806274414,27.82798194885254,19584
top2_deflation,19,different_topic_diff_language,15.894838333129883,35.78510665893555,518400
top2_deflation,19,different_topic_same_language,15.951750755310059,31.013092041015625,130560
top2_deflation,20,exact_translation_diff_language,14.340590476989746,33.48954391479492,2400
top2_deflation,20,same_factor_diff_language,15.461620330810547,35.844730377197266,25920
top2_deflation,20,same_factor_same_language,13.60443115234375,26.524696350097656,5904
top2_deflation,20,same_domain_diff_language,15.891325950622559,37.016883850097656,77760
top2_deflation,20,same_domain_same_language,14.968791961669922,29.09955596923828,19584
top2_deflation,20,different_topic_diff_language,15.887127876281738,38.38832473754883,518400
top2_deflation,20,different_topic_same_language,15.950303077697754,32.48215866088867,130560
top2_deflation,21,exact_translation_diff_language,14.34202766418457,35.254756927490234,2400
top2_deflation,21,same_factor_diff_language,15.459676742553711,37.85689926147461,25920
top2_deflation,21,same_factor_same_language,13.603880882263184,28.196767807006836,5904
top2_deflation,21,same_domain_diff_language,15.883368492126465,39.079891204833984,77760
top2_deflation,21,same_domain_same_language,14.944475173950195,30.869548797607422,19584
top2_deflation,21,different_topic_diff_language,15.877820014953613,40.49452209472656,518400
top2_deflation,21,different_topic_same_language,15.948766708374023,34.41692352294922,130560
top2_deflation,22,exact_translation_diff_language,14.38062858581543,39.5747184753418,2400
top2_deflation,22,same_factor_diff_language,15.471171379089355,42.1388053894043,25920
top2_deflation,22,same_factor_same_language,13.609126091003418,30.01659393310547,5904
