condition,layer,category,mean_cosine,mean_l2,pair_count
raw,4,same_domain_same_language,0.9897247552871704,32.886226654052734,19584
raw,4,different_topic_diff_language,0.9777318239212036,49.69340515136719,518400
raw,4,different_topic_same_language,0.9879043698310852,36.814308166503906,130560
language_residualized,4,exact_translation_diff_language,0.535841703414917,19.374950408935547,2400
language_residualized,4,same_factor_diff_language,0.16170759499073029,32.830814361572266,25920
language_residualized,4,same_factor_same_language,0.18002381920814514,33.28654479980469,5904
language_residualized,4,same_domain_diff_language,0.1270783692598343,33.60865020751953,77760
language_residualized,4,same_domain_same_language,0.16327179968357086,32.886226654052734,19584
language_residualized,4,different_topic_diff_language,0.032723281532526016,36.69939422607422,518400
language_residualized,4,different_topic_same_language,0.027351021766662598,36.814308166503906,130560
top5_deflation,4,exact_translation_diff_language,0.077846460044384,11.938043594360352,2400
top5_deflation,4,same_factor_diff_language,0.037466078996658325,12.197569847106934,25920
top5_deflation,4,same_factor_same_language,0.23600375652313232,10.853413581848145,5904
top5_deflation,4,same_domain_diff_language,0.01355245616286993,12.351197242736816,77760
top5_deflation,4,same_domain_same_language,0.1015288382768631,11.73934268951416,19584
top5_deflation,4,different_topic_diff_language,-0.004461526405066252,12.473238945007324,518400
top5_deflation,4,different_topic_same_language,-0.02799624763429165,12.656708717346191,130560
raw,5,exact_translation_diff_language,0.9876592755317688,55.438358306884766,2400
raw,5,same_factor_diff_language,0.9862992763519287,66.21399688720703,25920
raw,5,same_factor_same_language,0.9940319657325745,46.583492279052734,5904
raw,5,same_domain_diff_language,0.986032247543335,66.87964630126953,77760
raw,5,same_domain_same_language,0.993250846862793,45.65235137939453,19584
raw,5,different_topic_diff_language,0.9854449033737183,70.30480194091797,518400
raw,5,different_topic_same_language,0.9920052886009216,51.269203186035156,130560
language_residualized,5,exact_translation_diff_language,0.5842916965484619,24.79736328125,2400
language_residualized,5,same_factor_diff_language,0.1721821129322052,45.37545394897461,25920
language_residualized,5,same_factor_same_language,0.16981422901153564,46.58350372314453,5904
language_residualized,5,same_domain_diff_language,0.1366862952709198,46.51347732543945,77760
language_residualized,5,same_domain_same_language,0.16580165922641754,45.65235137939453,19584
language_residualized,5,different_topic_diff_language,0.040498387068510056,51.11745834350586,518400
language_residualized,5,different_topic_same_language,0.03656777739524841,51.269203186035156,130560
top5_deflation,5,exact_translation_diff_language,0.11980517208576202,12.683012962341309,2400
top5_deflation,5,same_factor_diff_language,0.06327485293149948,13.108955383300781,25920
top5_deflation,5,same_factor_same_language,0.2493063509464264,11.71574592590332,5904
top5_deflation,5,same_domain_diff_language,0.027605177834630013,13.361903190612793,77760
top5_deflation,5,same_domain_same_language,0.11142511665821075,12.72226333618164,19584
top5_deflation,5,different_topic_diff_language,-0.0077875894494354725,13.614640235900879,518400
top5_deflation,5,different_topic_same_language,-0.030323941260576248,13.814675331115723,130560
raw,6,exact_translation_diff_language,0.9873393774032593,61.05887985229492,2400
raw,6,same_factor_diff_language,0.9861676096916199,73.14083862304688,25920
raw,6,same_factor_same_language,0.9942941069602966,51.84050369262695,5904
raw,6,same_domain_diff_language,0.9858517050743103,73.91265106201172,77760
raw,6,same_domain_same_language,0.9934734106063843,50.790401458740234,19584
raw,6,different_topic_diff_language,0.9852714538574219,77.79934692382812,518400
raw,6,different_topic_same_language,0.9922414422035217,57.0933723449707,130560
language_residualized,6,exact_translation_diff_language,0.59409099817276,27.33454132080078,2400
language_residualized,6,same_factor_diff_language,0.17576833069324493,50.41781997680664,25920
language_residualized,6,same_factor_same_language,0.17053170502185822,51.84049987792969,5904
language_residualized,6,same_domain_diff_language,0.1390465497970581,51.71965408325195,77760
language_residualized,6,same_domain_same_language,0.1669216752052307,50.79039764404297,19584
language_residualized,6,different_topic_diff_language,0.03889922425150871,56.92787551879883,518400
language_residualized,6,different_topic_same_language,0.035185761749744415,57.09336853027344,130560
top5_deflation,6,exact_translation_diff_language,0.1571342945098877,14.010703086853027,2400
top5_deflation,6,same_factor_diff_language,0.07972463965415955,14.678969383239746,25920
top5_deflation,6,same_factor_same_language,0.24833323061466217,13.251791954040527,5904
top5_deflation,6,same_domain_diff_language,0.035379938781261444,15.03455638885498,77760
top5_deflation,6,same_domain_same_language,0.1124599426984787,14.364570617675781,19584
top5_deflation,6,different_topic_diff_language,-0.009553855285048485,15.396142959594727,518400
top5_deflation,6,different_topic_same_language,-0.03128042817115784,15.610245704650879,130560
raw,7,exact_translation_diff_language,0.9874317646026611,63.532527923583984,2400
raw,7,same_factor_diff_language,0.9863426685333252,76.2352294921875,25920
raw,7,same_factor_same_language,0.9945181012153625,54.34071731567383,5904
raw,7,same_domain_diff_language,0.9859883189201355,77.0691146850586,77760
raw,7,same_domain_same_language,0.9936885237693787,53.24904251098633,19584
raw,7,different_topic_diff_language,0.985414981842041,81.08695983886719,518400
raw,7,different_topic_same_language,0.9924920797348022,59.7437744140625,130560
language_residualized,7,exact_translation_diff_language,0.6000417470932007,28.583938598632812,2400
language_residualized,7,same_factor_diff_language,0.17624208331108093,52.81516647338867,25920
language_residualized,7,same_factor_same_language,0.16911622881889343,54.34073257446289,5904
language_residualized,7,same_domain_diff_language,0.13802318274974823,54.20576858520508,77760
language_residualized,7,same_domain_same_language,0.1651015728712082,53.2490348815918,19584
language_residualized,7,different_topic_diff_language,0.03881658986210823,59.57208251953125,518400
language_residualized,7,different_topic_same_language,0.03527316823601723,59.7437744140625,130560
top5_deflation,7,exact_translation_diff_language,0.17724484205245972,14.742267608642578,2400
top5_deflation,7,same_factor_diff_language,0.09102121740579605,15.546313285827637,25920
top5_deflation,7,same_factor_same_language,0.24889053404331207,14.120606422424316,5904
top5_deflation,7,same_domain_diff_language,0.039586685597896576,15.986703872680664,77760
top5_deflation,7,same_domain_same_language,0.11223102360963821,15.312338829040527,19584
top5_deflation,7,different_topic_diff_language,-0.01078200712800026,16.41663932800293,518400
top5_deflation,7,different_topic_same_language,-0.031147969886660576,16.6379451751709,130560
raw,8,exact_translation_diff_language,0.9869373440742493,65.91653442382812,2400
raw,8,same_factor_diff_language,0.9858030676841736,78.88232421875,25920
raw,8,same_factor_same_language,0.9945747256278992,55.83357238769531,5904
raw,8,same_domain_diff_language,0.9854164719581604,79.75418090820312,77760
raw,8,same_domain_same_language,0.9937661290168762,54.73003005981445,19584
raw,8,different_topic_diff_language,0.9848081469535828,83.90379333496094,518400
raw,8,different_topic_same_language,0.9925540685653687,61.46280288696289,130560
language_residualized,8,exact_translation_diff_language,0.6036789417266846,29.38223648071289,2400
language_residualized,8,same_factor_diff_language,0.17914259433746338,54.242958068847656,25920
language_residualized,8,same_factor_same_language,0.17061357200145721,55.83357620239258,5904
language_residualized,8,same_domain_diff_language,0.13990364968776703,55.70299530029297,77760
language_residualized,8,same_domain_same_language,0.16650240123271942,54.73003005981445,19584
language_residualized,8,different_topic_diff_language,0.03838452696800232,61.277618408203125,518400
language_residualized,8,different_topic_same_language,0.03484799340367317,61.462806701660156,130560
top5_deflation,8,exact_translation_diff_language,0.19775044918060303,15.097441673278809,2400
top5_deflation,8,same_factor_diff_language,0.10245934128761292,16.032352447509766,25920
top5_deflation,8,same_factor_same_language,0.250131756067276,14.648126602172852,5904
top5_deflation,8,same_domain_diff_language,0.04492957517504692,16.542659759521484,77760
top5_deflation,8,same_domain_same_language,0.11397869139909744,15.87808609008789,19584
top5_deflation,8,different_topic_diff_language,-0.012047940865159035,17.045385360717773,518400
top5_deflation,8,different_topic_same_language,-0.03187939152121544,17.27628517150879,130560
raw,9,exact_translation_diff_language,0.9872387647628784,67.18963623046875,2400
raw,9,same_factor_diff_language,0.9859592914581299,80.58688354492188,25920
raw,9,same_factor_same_language,0.994405210018158,57.3181037902832,5904
raw,9,same_domain_diff_language,0.9855279922485352,81.509521484375,77760
raw,9,same_domain_same_language,0.9935948848724365,56.21596145629883,19584
raw,9,different_topic_diff_language,0.9848721027374268,85.81372833251953,518400
raw,9,different_topic_same_language,0.9923534989356995,63.17235565185547,130560
language_residualized,9,exact_translation_diff_language,0.606399416923523,30.28900718688965,2400
language_residualized,9,same_factor_diff_language,0.18174251914024353,55.68153381347656,25920
language_residualized,9,same_factor_same_language,0.1722794771194458,57.318111419677734,5904
language_residualized,9,same_domain_diff_language,0.14098532497882843,57.213722229003906,77760
language_residualized,9,same_domain_same_language,0.16746817529201508,56.21596145629883,19584
language_residualized,9,different_topic_diff_language,0.036678653210401535,62.9759407043457,518400
language_residualized,9,different_topic_same_language,0.03330930694937706,63.172359466552734,130560
top5_deflation,9,exact_translation_diff_language,0.22180496156215668,15.70445442199707,2400
top5_deflation,9,same_factor_diff_language,0.11106940358877182,16.87407112121582,25920
top5_deflation,9,same_factor_same_language,0.24529266357421875,15.553474426269531,5904
top5_deflation,9,same_domain_diff_language,0.04875657707452774,17.45661735534668,77760
top5_deflation,9,same_domain_same_language,0.11395958065986633,16.795625686645508,19584
top5_deflation,9,different_topic_diff_language,-0.013072998262941837,18.032670974731445,518400
top5_deflation,9,different_topic_same_language,-0.0315716415643692,18.270830154418945,130560
raw,10,exact_translation_diff_language,0.9878911375999451,68.04540252685547,2400
raw,10,same_factor_diff_language,0.9864903092384338,81.67935943603516,25920
raw,10,same_factor_same_language,0.9944033026695251,58.23147964477539,5904
raw,10,same_domain_diff_language,0.986020565032959,82.63592529296875,77760
raw,10,same_domain_same_language,0.9935986995697021,57.12977981567383,19584
raw,10,different_topic_diff_language,0.9853353500366211,87.01376342773438,518400
raw,10,different_topic_same_language,0.9923619627952576,64.18595123291016,130560
language_residualized,10,exact_translation_diff_language,0.6100580096244812,30.762422561645508,2400
language_residualized,10,same_factor_diff_language,0.1831163614988327,56.54344177246094,25920
language_residualized,10,same_factor_same_language,0.1726451814174652,58.231483459472656,5904
language_residualized,10,same_domain_diff_language,0.14126616716384888,58.125423431396484,77760
language_residualized,10,same_domain_same_language,0.16743499040603638,57.12977981567383,19584
language_residualized,10,different_topic_diff_language,0.03572148084640503,63.97903060913086,518400
language_residualized,10,different_topic_same_language,0.03241391479969025,64.18595123291016,130560
top5_deflation,10,exact_translation_diff_language,0.24279235303401947,16.023990631103516,2400
top5_deflation,10,same_factor_diff_language,0.11877399682998657,17.381591796875,25920
top5_deflation,10,same_factor_same_language,0.2441888004541397,16.108963012695312,5904
top5_deflation,10,same_domain_diff_language,0.050705961883068085,18.03972625732422,77760
top5_deflation,10,same_domain_same_language,0.11305809020996094,17.38934898376465,19584
top5_deflation,10,different_topic_diff_language,-0.013853703625500202,18.661075592041016,518400
top5_deflation,10,different_topic_same_language,-0.030961427837610245,18.898075103759766,130560
raw,11,exact_translation_diff_language,0.9879030585289001,68.79130554199219,2400
raw,11,same_factor_diff_language,0.9863666296005249,82.5679702758789,25920
raw,11,same_factor_same_language,0.9940601587295532,58.8846435546875,5904
raw,11,same_domain_diff_language,0.9858086109161377,83.56683349609375,77760
raw,11,same_domain_same_language,0.9931621551513672,57.843666076660156,19584
raw,11,different_topic_diff_language,0.985004186630249,88.00442504882812,518400
raw,11,different_topic_same_language,0.9917969107627869,64.99861145019531,130560
language_residualized,11,exact_translation_diff_language,0.613002598285675,31.249706268310547,2400
language_residualized,11,same_factor_diff_language,0.18553104996681213,57.20361328125,25920
language_residualized,11,same_factor_same_language,0.1751904934644699,58.884647369384766,5904
language_residualized,11,same_domain_diff_language,0.14198851585388184,58.847190856933594,77760
language_residualized,11,same_domain_same_language,0.16802440583705902,57.843685150146484,19584
language_residualized,11,different_topic_diff_language,0.03362857550382614,64.7843017578125,518400
language_residualized,11,different_topic_same_language,0.03039286471903324,64.99861145019531,130560
top5_deflation,11,exact_translation_diff_language,0.264616459608078,16.645767211914062,2400
top5_deflation,11,same_factor_diff_language,0.1313568353652954,18.197816848754883,25920
top5_deflation,11,same_factor_same_language,0.2515220642089844,16.908105850219727,5904
top5_deflation,11,same_domain_diff_language,0.057246945798397064,18.954898834228516,77760
top5_deflation,11,same_domain_same_language,0.11979085952043533,18.26995277404785,19584
top5_deflation,11,different_topic_diff_language,-0.016135916113853455,19.69576072692871,518400
top5_deflation,11,different_topic_same_language,-0.029591001570224762,19.91583251953125,130560
raw,12,exact_translation_diff_language,0.9878708720207214,68.91265106201172,2400
raw,12,same_factor_diff_language,0.9863417744636536,82.71038055419922,25920
raw,12,same_factor_same_language,0.9940534830093384,59.04494857788086,5904
raw,12,same_domain_diff_language,0.9857879281044006,83.70975494384766,77760
raw,12,same_domain_same_language,0.9931395053863525,58.016136169433594,19584
raw,12,different_topic_diff_language,0.9849956035614014,88.16019439697266,518400
raw,12,different_topic_same_language,0.9917812943458557,65.19052124023438,130560
language_residualized,12,exact_translation_diff_language,0.6111921072006226,31.417573928833008,2400
language_residualized,12,same_factor_diff_language,0.1848103255033493,57.39131546020508,25920
language_residualized,12,same_factor_same_language,0.1754433810710907,59.044944763183594,5904
language_residualized,12,same_domain_diff_language,0.1413722038269043,59.033538818359375,77760
language_residualized,12,same_domain_same_language,0.1676499992609024,58.0161247253418,19584
language_residualized,12,different_topic_diff_language,0.03344041109085083,64.97764587402344,518400
language_residualized,12,different_topic_same_language,0.030123043805360794,65.19052124023438,130560
top5_deflation,12,exact_translation_diff_language,0.2663027048110962,16.7403621673584,2400
top5_deflation,12,same_factor_diff_language,0.13098040223121643,18.326740264892578,25920
top5_deflation,12,same_factor_same_language,0.25108057260513306,17.029787063598633,5904
top5_deflation,12,same_domain_diff_language,0.05736897885799408,19.08540916442871,77760
top5_deflation,12,same_domain_same_language,0.11765386909246445,18.420284271240234,19584
top5_deflation,12,different_topic_diff_language,-0.015576263889670372,19.829051971435547,518400
top5_deflation,12,different_topic_same_language,-0.03153933957219124,20.075271606445312,130560
raw,13,exact_translation_diff_language,0.9880203008651733,69.79412078857422,2400
raw,13,same_factor_diff_language,0.9864277243614197,83.66448974609375,25920
raw,13,same_factor_same_language,0.9937983155250549,59.62793731689453,5904
raw,13,same_domain_diff_language,0.9857784509658813,84.7181625366211,77760
raw,13,same_domain_same_language,0.9927276372909546,58.7407112121582,19584
raw,13,different_topic_diff_language,0.9848995804786682,89.20085144042969,518400
raw,13,different_topic_same_language,0.991265058517456,65.9865951538086,130560
language_residualized,13,exact_translation_diff_language,0.610995352268219,32.028194427490234,2400
language_residualized,13,same_factor_diff_language,0.18690690398216248,58.0456657409668,25920
language_residualized,13,same_factor_same_language,0.17997561395168304,59.62794876098633,5904
language_residualized,13,same_domain_diff_language,0.1413278430700302,59.76486587524414,77760
language_residualized,13,same_domain_same_language,0.16786739230155945,58.7407112121582,19584
